idproduto,referencia,produto,curva_abc,continuidade,linha,familia,ano,mes,ml_qtd
16045,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,2,81
16045,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,3,18
16045,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,4,17
16046,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,1,84
16046,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,2,149
16046,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,3,57
16046,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,4,44
16047,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,1,89
16047,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,2,147
16047,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,3,58
16047,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,4,57
16048,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,1,60
16048,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,2,97
16048,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,3,54
16048,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,4,45
16049,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,1,37
16049,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,2,78
16049,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,3,38
16049,703008,SUTIA 1/2 TACA EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,4,25
16050,703602,SUTIA TQC EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,1,61
16050,703602,SUTIA TQC EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,2,82
16050,703602,SUTIA TQC EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,3,41
16050,703602,SUTIA TQC EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,4,70
16051,703602,SUTIA TQC EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,1,58
16051,703602,SUTIA TQC EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,2,100
16051,703602,SUTIA TQC EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,3,61
16051,703602,SUTIA TQC EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,4,77
16052,703602,SUTIA TQC EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,1,57
16052,703602,SUTIA TQC EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,2,92
16052,703602,SUTIA TQC EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,3,41
16052,703602,SUTIA TQC EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,4,49
16053,703602,SUTIA TQC EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,1,114
16053,703602,SUTIA TQC EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,2,157
16053,703602,SUTIA TQC EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,3,142
16053,703602,SUTIA TQC EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,4,100
16054,703602,SUTIA TQC EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,1,110
16054,703602,SUTIA TQC EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,2,157
16054,703602,SUTIA TQC EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,3,143
16054,703602,SUTIA TQC EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,4,101
16055,703602,SUTIA TQC EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,1,87
16055,703602,SUTIA TQC EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,2,165
16055,703602,SUTIA TQC EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,3,133
16055,703602,SUTIA TQC EM MICROFIBRA TACA B,B,PERMANENTE,CONFORT,BASICOS PLUS,2026,4,98
16056,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,1,120
16056,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,2,66
16056,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,3,44
16056,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,4,40
16057,703402,SUTIA TRIANGULO EM MICROF E RENDA TACA B,C,PERMANENTE,FASHION,KISS ME PLUS,2026,1,152
