idproduto;referencia;produto;cor;tamanho;continuidade;lote minimo
34693;301707;CALCINHA ALTA EM MICROFIBRA CONTRO;NUDE;GG;PERMANENTE;60
34691;301707;CALCINHA ALTA EM MICROFIBRA CONTRO;NUDE;M;PERMANENTE;60
34724;302104;BERMUDA ALTA EM MICROFIBRA CONTROL;NUDE;G;PERMANENTE;60
34725;302104;BERMUDA ALTA EM MICROFIBRA CONTROL;NUDE;GG;PERMANENTE;60
34723;302104;BERMUDA ALTA EM MICROFIBRA CONTROL;NUDE;M;PERMANENTE;60
34711;303402;SUTIA TRIANGULO FIRMADOR EM MICROFIBRA;NUDE;G;PERMANENTE;60
34712;303402;SUTIA TRIANGULO FIRMADOR EM MICROFIBRA;NUDE;GG;PERMANENTE;60
34710;303402;SUTIA TRIANGULO FIRMADOR EM MICROFIBRA;NUDE;M;PERMANENTE;60
34706;303402;SUTIA TRIANGULO FIRMADOR EM MICROFIBRA;PRETO;G;PERMANENTE;60
34707;303402;SUTIA TRIANGULO FIRMADOR EM MICROFIBRA;PRETO;GG;PERMANENTE;60
34705;303402;SUTIA TRIANGULO FIRMADOR EM MICROFIBRA;PRETO;M;PERMANENTE;60
38631;303603;SUTIA TQC EM MICROFIBRA CONTROL;NUDE;42;PERMANENTE;60
38632;303603;SUTIA TQC EM MICROFIBRA CONTROL;NUDE;44;PERMANENTE;60
38633;303603;SUTIA TQC EM MICROFIBRA CONTROL;NUDE;46;PERMANENTE;60
38635;303603;SUTIA TQC EM MICROFIBRA CONTROL;PRETO;42;PERMANENTE;60
38636;303603;SUTIA TQC EM MICROFIBRA CONTROL;PRETO;44;PERMANENTE;60
38637;303603;SUTIA TQC EM MICROFIBRA CONTROL;PRETO;46;PERMANENTE;60
36675;306602;BODY MANGA ALTA SEM MANGA EM MICRO;PRETO;G;PERMANENTE;120
36676;306602;BODY MANGA ALTA SEM MANGA EM MICRO;PRETO;GG;PERMANENTE;120
36674;306602;BODY MANGA ALTA SEM MANGA EM MICRO;PRETO;M;PERMANENTE;120
36673;306602;BODY MANGA ALTA SEM MANGA EM MICRO;PRETO;P;PERMANENTE;120
34834;501723;CALCINHA SEMI FIO EM RENDA KISS ME;BRANCO;G;PERMANENTE;40
34835;501723;CALCINHA SEMI FIO EM RENDA KISS ME;BRANCO;GG;PERMANENTE;40
34833;501723;CALCINHA SEMI FIO EM RENDA KISS ME;BRANCO;M;PERMANENTE;40
34832;501723;CALCINHA SEMI FIO EM RENDA KISS ME;BRANCO;P;PERMANENTE;40
34838;501723;CALCINHA SEMI FIO EM RENDA KISS ME;LOVE;G;PERMANENTE;40
34839;501723;CALCINHA SEMI FIO EM RENDA KISS ME;LOVE;GG;PERMANENTE;40
34837;501723;CALCINHA SEMI FIO EM RENDA KISS ME;LOVE;M;PERMANENTE;40
34836;501723;CALCINHA SEMI FIO EM RENDA KISS ME;LOVE;P;PERMANENTE;40
34842;501723;CALCINHA SEMI FIO EM RENDA KISS ME;NUDE;G;PERMANENTE;40
34843;501723;CALCINHA SEMI FIO EM RENDA KISS ME;NUDE;GG;PERMANENTE;40
34841;501723;CALCINHA SEMI FIO EM RENDA KISS ME;NUDE;M;PERMANENTE;40
34840;501723;CALCINHA SEMI FIO EM RENDA KISS ME;NUDE;P;PERMANENTE;40
34830;501723;CALCINHA SEMI FIO EM RENDA KISS ME;PRETO;G;PERMANENTE;40
34831;501723;CALCINHA SEMI FIO EM RENDA KISS ME;PRETO;GG;PERMANENTE;40
34829;501723;CALCINHA SEMI FIO EM RENDA KISS ME;PRETO;M;PERMANENTE;40
34828;501723;CALCINHA SEMI FIO EM RENDA KISS ME;PRETO;P;PERMANENTE;40
34815;501742;CALCINHA STRING RENDADA KISS ME;BRANCO;G;PERMANENTE;40
34814;501742;CALCINHA STRING RENDADA KISS ME;BRANCO;M;PERMANENTE;40
34813;501742;CALCINHA STRING RENDADA KISS ME;BRANCO;P;PERMANENTE;40
34818;501742;CALCINHA STRING RENDADA KISS ME;LOVE;G;PERMANENTE;40
34817;501742;CALCINHA STRING RENDADA KISS ME;LOVE;M;PERMANENTE;40
34816;501742;CALCINHA STRING RENDADA KISS ME;LOVE;P;PERMANENTE;40
