idproduto,mes,ano,quantidade,origem
25755,1,2026,49,"API"
25756,1,2026,28,"API"
25761,1,2026,31,"API"
25762,1,2026,54,"API"
25763,1,2026,43,"API"
25764,1,2026,26,"API"
25963,1,2026,34,"API"
25964,1,2026,39,"API"
25965,1,2026,35,"API"
25967,1,2026,26,"API"
25968,1,2026,23,"API"
25969,1,2026,16,"API"
25986,1,2026,32,"API"
25987,1,2026,78,"API"
25988,1,2026,72,"API"
25989,1,2026,47,"API"
25990,1,2026,17,"API"
25991,1,2026,37,"API"
25992,1,2026,21,"API"
25993,1,2026,23,"API"
26019,1,2026,7,"API"
26020,1,2026,9,"API"
26021,1,2026,8,"API"
26022,1,2026,8,"API"
26318,1,2026,22,"API"
26320,1,2026,19,"API"
27047,1,2026,122,"API"
27048,1,2026,208,"API"
27049,1,2026,154,"API"
27050,1,2026,50,"API"
27051,1,2026,125,"API"
27052,1,2026,257,"API"
27053,1,2026,166,"API"
27054,1,2026,62,"API"
27055,1,2026,90,"API"
27056,1,2026,198,"API"
27057,1,2026,154,"API"
27058,1,2026,90,"API"
27099,1,2026,52,"API"
27100,1,2026,81,"API"
27101,1,2026,45,"API"
27102,1,2026,30,"API"
27103,1,2026,18,"API"
27104,1,2026,61,"API"
27105,1,2026,97,"API"
27106,1,2026,58,"API"
27107,1,2026,46,"API"
27108,1,2026,29,"API"
27600,1,2026,38,"API"
27601,1,2026,111,"API"
27602,1,2026,68,"API"
27603,1,2026,37,"API"
27604,1,2026,65,"API"
27605,1,2026,46,"API"
27677,1,2026,21,"API"
27678,1,2026,59,"API"
27679,1,2026,67,"API"
27680,1,2026,47,"API"
27681,1,2026,26,"API"
27682,1,2026,97,"API"
27683,1,2026,100,"API"
27684,1,2026,52,"API"
27969,1,2026,76,"API"
27970,1,2026,102,"API"
27971,1,2026,76,"API"
27972,1,2026,35,"API"
27973,1,2026,44,"API"
27974,1,2026,55,"API"
27975,1,2026,37,"API"
27976,1,2026,17,"API"
27977,1,2026,90,"API"
27978,1,2026,126,"API"
27979,1,2026,108,"API"
27980,1,2026,49,"API"
28606,1,2026,52,"API"
28607,1,2026,50,"API"
28608,1,2026,33,"API"
28609,1,2026,23,"API"
28610,1,2026,15,"API"
28612,1,2026,54,"API"
28613,1,2026,53,"API"
28614,1,2026,36,"API"
28615,1,2026,26,"API"
28625,1,2026,58,"API"
28626,1,2026,193,"API"
28627,1,2026,230,"API"
28628,1,2026,165,"API"
28629,1,2026,133,"API"
28630,1,2026,245,"API"
28631,1,2026,229,"API"
28632,1,2026,139,"API"
28633,1,2026,75,"API"
28634,1,2026,182,"API"
28635,1,2026,220,"API"
28636,1,2026,170,"API"
28637,1,2026,132,"API"
28638,1,2026,355,"API"
28639,1,2026,335,"API"
28640,1,2026,199,"API"
28641,1,2026,196,"API"
28642,1,2026,731,"API"
28643,1,2026,793,"API"
28644,1,2026,509,"API"
28645,1,2026,147,"API"
28646,1,2026,297,"API"
28647,1,2026,214,"API"
28648,1,2026,64,"API"
28649,1,2026,161,"API"
28650,1,2026,331,"API"
28651,1,2026,207,"API"
28652,1,2026,87,"API"
28653,1,2026,131,"API"
28654,1,2026,302,"API"
28655,1,2026,244,"API"
28656,1,2026,134,"API"
29094,1,2026,23,"API"
29095,1,2026,35,"API"
29096,1,2026,31,"API"
29097,1,2026,21,"API"
29141,1,2026,47,"API"
29142,1,2026,36,"API"
29143,1,2026,20,"API"
29144,1,2026,16,"API"
29145,1,2026,24,"API"
29146,1,2026,22,"API"
29147,1,2026,15,"API"
29148,1,2026,13,"API"
29415,1,2026,107,"API"
29416,1,2026,102,"API"
29417,1,2026,76,"API"
