"idproduto";"referencia";"produto";"cor";"tamanho";"continuidade"
"34776";"101704";"CALCINHA STRING FIO DENTAL CONFORT";"CALLAS";"P";"PERMANENTE"
"34784";"101704";"CALCINHA STRING FIO DENTAL CONFORT";"CHOCOLATE";"G";"PERMANENTE"
"34783";"101704";"CALCINHA STRING FIO DENTAL CONFORT";"CHOCOLATE";"M";"PERMANENTE"
"34782";"101704";"CALCINHA STRING FIO DENTAL CONFORT";"CHOCOLATE";"P";"PERMANENTE"
"34775";"101704";"CALCINHA STRING FIO DENTAL CONFORT";"PRETO";"G";"PERMANENTE"
"34774";"101704";"CALCINHA STRING FIO DENTAL CONFORT";"PRETO";"M";"PERMANENTE"
"34773";"101704";"CALCINHA STRING FIO DENTAL CONFORT";"PRETO";"P";"PERMANENTE"
"36143";"103803";"TOP TOMARA QUE CAIA COM BOJO REMOVIVEL";"CHOCOLATE";"G";"PERMANENTE"
"36144";"103803";"TOP TOMARA QUE CAIA COM BOJO REMOVIVEL";"CHOCOLATE";"GG";"PERMANENTE"
"36142";"103803";"TOP TOMARA QUE CAIA COM BOJO REMOVIVEL";"CHOCOLATE";"M";"PERMANENTE"
"36141";"103803";"TOP TOMARA QUE CAIA COM BOJO REMOVIVEL";"CHOCOLATE";"P";"PERMANENTE"
"36131";"103803";"TOP TOMARA QUE CAIA COM BOJO REMOVIVEL";"PRETO";"G";"PERMANENTE"
"36132";"103803";"TOP TOMARA QUE CAIA COM BOJO REMOVIVEL";"PRETO";"GG";"PERMANENTE"
"36130";"103803";"TOP TOMARA QUE CAIA COM BOJO REMOVIVEL";"PRETO";"M";"PERMANENTE"
"36129";"103803";"TOP TOMARA QUE CAIA COM BOJO REMOVIVEL";"PRETO";"P";"PERMANENTE"
"36589";"106601";"BODY GOLA ALTA MANGA LONGA CONFORT";"PRETO";"G";"PERMANENTE"
"36590";"106601";"BODY GOLA ALTA MANGA LONGA CONFORT";"PRETO";"GG";"PERMANENTE"
"36588";"106601";"BODY GOLA ALTA MANGA LONGA CONFORT";"PRETO";"M";"PERMANENTE"
"36587";"106601";"BODY GOLA ALTA MANGA LONGA CONFORT";"PRETO";"P";"PERMANENTE"
"38609";"123101";"SUTIA PUSH UP 3D EM MICROFIBRA";"CHOCOLATE";"40";"PERMANENTE"
"38610";"123101";"SUTIA PUSH UP 3D EM MICROFIBRA";"CHOCOLATE";"42";"PERMANENTE"
"38611";"123101";"SUTIA PUSH UP 3D EM MICROFIBRA";"CHOCOLATE";"44";"PERMANENTE"
"36706";"136910";"ROBE EM CETIM";"BRANCO";"G";"PERMANENTE"
"36705";"136910";"ROBE EM CETIM";"BRANCO";"M";"PERMANENTE"
"36704";"136910";"ROBE EM CETIM";"BRANCO";"P";"PERMANENTE"
"36718";"136910";"ROBE EM CETIM";"PRETO";"G";"PERMANENTE"
"36717";"136910";"ROBE EM CETIM";"PRETO";"M";"PERMANENTE"
"36716";"136910";"ROBE EM CETIM";"PRETO";"P";"PERMANENTE"
"34703";"301310";"CALCINHA ALTA EM MICROFIBRA CONTRO";"NUDE";"EG";"PERMANENTE"
"34701";"301310";"CALCINHA ALTA EM MICROFIBRA CONTRO";"NUDE";"G";"PERMANENTE"
"34702";"301310";"CALCINHA ALTA EM MICROFIBRA CONTRO";"NUDE";"GG";"PERMANENTE"
"34700";"301310";"CALCINHA ALTA EM MICROFIBRA CONTRO";"NUDE";"M";"PERMANENTE"
"34699";"301310";"CALCINHA ALTA EM MICROFIBRA CONTRO";"NUDE";"P";"PERMANENTE"
"37820";"301311";"CALCINHA LARGA  S/COSTURA CONTROL";"NUDE";"EG";"PERMANENTE"
"37552";"301311";"CALCINHA LARGA  S/COSTURA CONTROL";"NUDE";"G";"PERMANENTE"
"37553";"301311";"CALCINHA LARGA  S/COSTURA CONTROL";"NUDE";"GG";"PERMANENTE"
"37551";"301311";"CALCINHA LARGA  S/COSTURA CONTROL";"NUDE";"M";"PERMANENTE"
"37821";"301311";"CALCINHA LARGA  S/COSTURA CONTROL";"PRETO";"EG";"PERMANENTE"
"37556";"301311";"CALCINHA LARGA  S/COSTURA CONTROL";"PRETO";"G";"PERMANENTE"
