idproduto;mes;ano;quantidade;origem;updated_at
10786;5;2026;34;API;2026-08-06T13:11:38.002Z
10786;6;2026;25;API;2026-08-06T13:11:38.002Z
10786;7;2026;27;API;2026-08-06T13:11:38.002Z
10786;8;2026;37;API;2026-08-06T13:11:38.002Z
10786;9;2026;45;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10786;10;2026;41;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10786;11;2026;29;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10786;12;2026;17;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10787;1;2026;60;API;2026-08-06T13:11:38.002Z
10787;2;2026;51;API;2026-08-06T13:11:38.002Z
10787;3;2026;70;API;2026-08-06T13:11:38.002Z
10787;4;2026;50;API;2026-08-06T13:11:38.002Z
10787;5;2026;58;API;2026-08-06T13:11:38.002Z
10787;6;2026;44;API;2026-08-06T13:11:38.002Z
10787;7;2026;46;API;2026-08-06T13:11:38.002Z
10787;8;2026;61;API;2026-08-06T13:11:38.002Z
10787;9;2026;74;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10787;10;2026;67;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10787;11;2026;47;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10787;12;2026;28;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10788;1;2026;65;API;2026-08-06T13:11:38.002Z
10788;2;2026;56;API;2026-08-06T13:11:38.002Z
10788;3;2026;77;API;2026-08-06T13:11:38.002Z
10788;4;2026;54;API;2026-08-06T13:11:38.002Z
10788;5;2026;63;API;2026-08-06T13:11:38.002Z
10788;6;2026;48;API;2026-08-06T13:11:38.002Z
10788;7;2026;48;API;2026-08-06T13:11:38.002Z
10788;8;2026;68;API;2026-08-06T13:11:38.002Z
10788;9;2026;81;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10788;10;2026;73;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10788;11;2026;51;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
10788;12;2026;31;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
13561;1;2026;74;API;2026-08-06T13:11:38.002Z
13561;2;2026;63;API;2026-08-06T13:11:38.002Z
13561;3;2026;86;API;2026-08-06T13:11:38.002Z
13561;4;2026;61;API;2026-08-06T13:11:38.002Z
13561;5;2026;71;API;2026-08-06T13:11:38.002Z
13561;6;2026;54;API;2026-08-06T13:11:38.002Z
13561;7;2026;55;API;2026-08-06T13:11:38.002Z
13561;8;2026;82;API;2026-08-06T13:11:38.002Z
13561;9;2026;0;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
13561;10;2026;0;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
13561;11;2026;0;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
13562;1;2026;54;API;2026-08-06T13:11:38.002Z
13562;2;2026;46;API;2026-08-06T13:11:38.002Z
13562;3;2026;63;API;2026-08-06T13:11:38.002Z
13562;4;2026;45;API;2026-08-06T13:11:38.002Z
13562;5;2026;52;API;2026-08-06T13:11:38.002Z
13562;6;2026;39;API;2026-08-06T13:11:38.002Z
13562;7;2026;39;API;2026-08-06T13:11:38.002Z
13562;8;2026;57;API;2026-08-06T13:11:38.002Z
13562;9;2026;0;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
13562;10;2026;0;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
13562;11;2026;0;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
13576;1;2026;117;API;2026-08-06T13:11:38.002Z
13576;2;2026;99;API;2026-08-06T13:11:38.002Z
13576;3;2026;137;API;2026-08-06T13:11:38.002Z
13576;4;2026;97;API;2026-08-06T13:11:38.002Z
13576;5;2026;113;API;2026-08-06T13:11:38.002Z
13576;6;2026;85;API;2026-08-06T13:11:38.002Z
13576;7;2026;74;API;2026-08-06T13:11:38.002Z
13576;8;2026;113;API;2026-08-06T13:11:38.002Z
13576;9;2026;0;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
13576;10;2026;0;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
13576;11;2026;0;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
13586;1;2026;164;API;2026-08-06T13:11:38.002Z
13586;2;2026;139;API;2026-08-06T13:11:38.002Z
13586;3;2026;192;API;2026-08-06T13:11:38.002Z
13586;4;2026;136;API;2026-08-06T13:11:38.002Z
13586;5;2026;158;API;2026-08-06T13:11:38.002Z
13586;6;2026;119;API;2026-08-06T13:11:38.002Z
13586;7;2026;112;API;2026-08-06T13:11:38.002Z
13586;8;2026;179;API;2026-08-06T13:11:38.002Z
13586;9;2026;0;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
13586;10;2026;0;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
13586;11;2026;0;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
13587;1;2026;154;API;2026-08-06T13:11:38.002Z
13587;2;2026;131;API;2026-08-06T13:11:38.002Z
13587;3;2026;180;API;2026-08-06T13:11:38.002Z
13587;4;2026;127;API;2026-08-06T13:11:38.002Z
13587;5;2026;148;API;2026-08-06T13:11:38.002Z
13587;6;2026;112;API;2026-08-06T13:11:38.002Z
13587;7;2026;113;API;2026-08-06T13:11:38.002Z
13587;8;2026;162;API;2026-08-06T13:11:38.002Z
13587;9;2026;0;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
13587;10;2026;0;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
13587;11;2026;0;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
13588;1;2026;113;API;2026-08-06T13:11:38.002Z
13588;2;2026;96;API;2026-08-06T13:11:38.002Z
13588;3;2026;133;API;2026-08-06T13:11:38.002Z
13588;4;2026;94;API;2026-08-06T13:11:38.002Z
13588;5;2026;109;API;2026-08-06T13:11:38.002Z
13588;6;2026;82;API;2026-08-06T13:11:38.002Z
13588;7;2026;65;API;2026-08-06T13:11:38.002Z
13588;8;2026;104;API;2026-08-06T13:11:38.002Z
13588;9;2026;0;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
13588;10;2026;0;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
13588;11;2026;0;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
13589;1;2026;90;API;2026-08-06T13:11:38.002Z
13589;2;2026;77;API;2026-08-06T13:11:38.002Z
13589;3;2026;106;API;2026-08-06T13:11:38.002Z
13589;4;2026;75;API;2026-08-06T13:11:38.002Z
13589;5;2026;87;API;2026-08-06T13:11:38.002Z
13589;6;2026;66;API;2026-08-06T13:11:38.002Z
13589;7;2026;50;API;2026-08-06T13:11:38.002Z
13589;8;2026;73;API;2026-08-06T13:11:38.002Z
13589;9;2026;0;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
13589;10;2026;0;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
13589;11;2026;0;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
13595;1;2026;119;API;2026-08-06T13:11:38.002Z
13595;2;2026;101;API;2026-08-06T13:11:38.002Z
13595;3;2026;139;API;2026-08-06T13:11:38.002Z
13595;4;2026;98;API;2026-08-06T13:11:38.002Z
13595;5;2026;115;API;2026-08-06T13:11:38.002Z
13595;6;2026;87;API;2026-08-06T13:11:38.002Z
13595;7;2026;78;API;2026-08-06T13:11:38.002Z
13595;8;2026;114;API;2026-08-06T13:11:38.002Z
13595;9;2026;0;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
13595;10;2026;0;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
13595;11;2026;0;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
16030;1;2026;27;API;2026-08-06T13:11:38.002Z
16030;2;2026;23;API;2026-08-06T13:11:38.002Z
16030;3;2026;32;API;2026-08-06T13:11:38.002Z
16030;4;2026;22;API;2026-08-06T13:11:38.002Z
16030;5;2026;26;API;2026-08-06T13:11:38.002Z
16030;6;2026;20;API;2026-08-06T13:11:38.002Z
16030;7;2026;25;API;2026-08-06T13:11:38.002Z
16030;8;2026;36;API;2026-08-06T13:11:38.002Z
16030;9;2026;43;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
16030;10;2026;39;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
16030;11;2026;27;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
16030;12;2026;16;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
16031;1;2026;34;API;2026-08-06T13:11:38.002Z
16031;2;2026;29;API;2026-08-06T13:11:38.002Z
16031;3;2026;40;API;2026-08-06T13:11:38.002Z
16031;4;2026;28;API;2026-08-06T13:11:38.002Z
16031;5;2026;33;API;2026-08-06T13:11:38.002Z
16031;6;2026;25;API;2026-08-06T13:11:38.002Z
16031;7;2026;37;API;2026-08-06T13:11:38.002Z
16031;8;2026;41;API;2026-08-06T13:11:38.002Z
16031;9;2026;52;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
16031;10;2026;47;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
16031;11;2026;33;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
16031;12;2026;20;CAIRO_REDUCAO_20260917;2026-09-17T12:21:17.890Z
